episod,total_reward
363,0.605384328382
364,-2.12407725632
365,0.762511020244
366,1.16635667231
367,2.20090339434
368,-2.11054816509
369,-1.15290965125
370,3.04057945633
371,-23.309451564
372,-15.072993978
373,-14.2384460857
374,-13.7805897202
375,6.54507151567
376,-9.35300236542
377,-7.10489322297
378,-3.9365926635
379,-12.4049149687
380,3.73330809937
381,15.5498539279
382,7.5298156727
383,14.8767290705
384,4.87641372672
385,1.19313031181
386,-2.39721129513
387,1.32932748138
388,5.02286051423
389,10.9383908218
390,3.43568609942
391,5.64935957093
392,6.92445945766
393,-1.26658653965
394,-1.0698924693
395,1.37757631065
396,5.40360261539
397,2.70428134704
398,-1.10954114673
399,1.90278451421
400,-0.663108461814
401,-0.782637721009
402,0.0906074421563
403,-0.554270834266
404,3.91045247002
405,-0.0612303992561
406,0.143222904247
407,4.40974536131
408,1.07521669695
409,0.513759553185
410,-1.07457831202
411,0.723780833917
412,-0.140776749981
413,0.916473528594
414,0.152348513813
415,-0.797409433949
416,-1.44989296065
417,0.505201748531
418,1.01289265553
419,1.07291792719
420,-0.215485005548
421,1.86480202582
422,-0.892203898566
423,0.677363359673
424,-2.74971987856
425,1.42760734882
426,0.21564994021
427,1.18677936704
428,-0.0955371593501
429,1.34009764401
430,0.0962807106838
431,-1.63429134459
432,1.15699775256
433,-1.34308625042
434,-0.153237048011
435,-0.968723800673
436,1.7243925342
437,-1.68660079826
438,-0.265882984331
439,1.03306602585
440,1.576497751
441,0.337573048778
442,0.888463986111
443,-0.276551992
444,-0.21529937731
445,1.16961675573
446,0.258949881698
447,0.695015411477
448,1.15905133062
449,-0.108248814026
450,-0.562391716947
451,0.611385229586
452,1.05323039543
453,1.62375182463
454,0.94202114153
455,0.240102191222
456,-1.33739494491
457,0.57620606917
458,-0.306532091733
459,0.809839848434
460,1.36724278468
461,0.680367433774
462,1.4870537537
463,0.629135140385
464,-2.04735375369
465,1.44715067897
466,-0.0163893682721
467,1.03157808174
468,-0.513550857105
469,1.64769974337
470,-0.576481173979
471,-2.26582198076
472,1.1949825278
473,1.275198507
474,0.764922004618
475,1.04445500432
476,-0.565275616591
477,-0.758834457295
478,0.0191554666408
479,0.473816169476
480,-0.212168607578
481,-0.478953449105
482,-1.685846874
483,1.39857656153
484,0.7556468659
485,1.12646439661
486,0.392162639033
487,0.214045354865
488,-1.23377723567
489,0.324243691328
490,0.467566626308
491,-0.0152911549704
492,-2.177369577
493,0.536588297252
494,-2.35437587502
495,0.940946131803
496,-0.329547457592
497,-0.643472966415
498,0.699294561783
499,-0.104229991069
500,2.76279965058
501,0.324385179451
502,0.368957088336
503,0.594443776814
504,-2.25033596401
505,0.291218076505
506,1.01794904857
507,-0.500342470962
508,0.535147843065
509,1.81165071049
510,-0.434296676618
511,-0.592002774426
512,0.388105232822
513,0.354787432515
514,-1.29785330361
515,-0.985919760819
516,-1.05105706509
517,0.100405061666
518,-1.2663166084
519,1.60139773628
520,-0.16513273775
521,-0.869617550271
522,0.224169985411
523,1.74758440009
524,-0.468565306899
525,0.840982100439
526,0.0271229397342
527,-0.622907416605
528,1.64892363331
529,-1.36041020936
530,1.26276835459
531,1.42932534106
532,0.461548898778
533,1.338274683
534,-1.24212523283
535,0.815754999127
536,1.49067093354
537,0.83706104782
538,-0.869373076148
539,-0.57339040373
540,0.915229814068
541,-0.782987014722
542,0.225638297914
543,0.906496810804
544,1.09617478013
545,0.994009164426
546,-0.0796579569501
547,0.34267696611
548,0.0446114108625
549,-1.7194877633
550,-0.186506045713
551,-0.46633084029
552,1.62231757781
553,-0.889694014743
554,-0.852008548222
555,0.933792028315
556,-2.10153140396
557,-3.3042994349
558,2.03936082937
559,0.765469556949
560,-1.09733469411
561,0.0667232723551
562,-2.61489020922
563,0.183560490422
564,-0.016367309742
565,0.119569368455
566,2.96013471819
567,-44.1754522627
568,-38.1739229444
569,-0.573681414712
570,-0.599181313811
571,-14.2938845294
572,-42.2750265921
573,-0.455337592092
574,-17.7945858238
575,0.841124758364
576,1.13648309074
577,-0.493646675041
578,-0.0489807927974
579,0.410273238568
580,-7.99746703168
581,-1.56617028958
582,-17.9452566391
583,-2.47828556939
584,-13.0579511838
585,-1.25623928576
586,-15.8582324127
587,-1.39824814474
588,-16.7251895774
589,-9.58502146735
590,-24.876925447
591,-0.463216038889
592,-13.1547070976
593,1.41182785677
594,1.00271738929
595,0.0950251278295
596,-0.681076137719
597,-31.6473150204
598,-44.0668698928
599,-41.7050867834
600,-16.2931782267
601,-0.937560183254
602,-40.997819356
603,0.0999744577884
604,-47.1306280517
605,-37.3861311543
606,-39.1514023109
607,0.733576050704
608,0.667625793812
609,-1.41430124771
610,-1.2541878409
611,-24.7469222075
612,-17.4438369839
613,-0.127367985838
614,-21.8989391814
615,-15.2040114429
616,-13.4258482442
617,-1.74190182184
